ds,trend,cap,floor,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,estacion_Invierno,estacion_Invierno_lower,estacion_Invierno_upper,estacion_Otoño,estacion_Otoño_lower,estacion_Otoño_upper,estacion_Primavera,estacion_Primavera_lower,estacion_Primavera_upper,estacion_Verano,estacion_Verano_lower,estacion_Verano_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,tmed_max,tmed_max_lower,tmed_max_upper,tmed_mean,tmed_mean_lower,tmed_mean_upper,tmed_min,tmed_min_lower,tmed_min_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-07-24,18.153320530339908,34.60000038146973,4.150000095367432,22.872824799648107,26.445381888043165,18.153320530339908,18.153320530339908,6.519955725609571,6.519955725609571,6.519955725609571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.544920800631094,6.544920800631094,6.544920800631094,-0.03596895295789832,-0.03596895295789832,-0.03596895295789832,5.285010651164002,5.285010651164002,5.285010651164002,-0.06426562286540231,-0.06426562286540231,-0.06426562286540231,-0.018489561497342825,-0.018489561497342825,-0.018489561497342825,-0.00647551352417981,-0.00647551352417981,-0.00647551352417981,0.0,0.0,0.0,24.673276255949478
2024-07-25,18.154023376330997,34.60000038146973,4.150000095367432,23.08048950622213,26.52176909366001,18.154023376330997,18.154023376330997,6.7538520443351135,6.7538520443351135,6.7538520443351135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.7350661140509915,6.7350661140509915,6.7350661140509915,-0.07063226673898121,-0.07063226673898121,-0.07063226673898121,5.488805786639696,5.488805786639696,5.488805786639696,-0.04325213114011597,-0.04325213114011597,-0.04325213114011597,0.026066042993027706,0.026066042993027706,0.026066042993027706,-0.007280112708906195,-0.007280112708906195,-0.007280112708906195,0.0,0.0,0.0,24.90787542066611
2024-07-26,18.154726227559877,34.60000038146973,4.150000095367432,22.860897896586252,26.523909499476783,18.154726227559877,18.154726227559877,6.488065820187047,6.488065820187047,6.488065820187047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.465421001075295,6.465421001075295,6.465421001075295,-0.036857759352812644,-0.036857759352812644,-0.036857759352812644,5.200095606477525,5.200095606477525,5.200095606477525,-0.05796157133981097,-0.05796157133981097,-0.05796157133981097,0.030683889695363478,0.030683889695363478,0.030683889695363478,-0.00803907058361096,-0.00803907058361096,-0.00803907058361096,0.0,0.0,0.0,24.642792047746923
2024-07-27,18.155429084023574,34.60000038146973,4.150000095367432,22.219496867275573,25.804541686932623,18.155429084023574,18.155429084023574,5.930687162908647,5.930687162908647,5.930687162908647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,5.918008581038114,5.918008581038114,5.918008581038114,-0.04396817660698331,-0.04396817660698331,-0.04396817660698331,4.656641587951733,4.656641587951733,4.656641587951733,-0.05480955559702892,-0.05480955559702892,-0.05480955559702892,0.02142540741766315,0.02142540741766315,0.02142540741766315,-0.008746825547129957,-0.008746825547129957,-0.008746825547129957,0.0,0.0,0.0,24.08611624693222
2024-07-28,18.15613194571912,34.60000038146973,4.150000095367432,22.701627423066416,26.338663206219465,18.15613194571912,18.15613194571912,6.277680358004801,6.277680358004801,6.277680358004801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.291147868452195,6.291147868452195,6.291147868452195,-0.04130177437481229,-0.04130177437481229,-0.04130177437481229,5.030266488876424,5.030266488876424,5.030266488876424,-0.05796157133981097,-0.05796157133981097,-0.05796157133981097,-0.004068275283289384,-0.004068275283289384,-0.004068275283289384,-0.009399235164104215,-0.009399235164104215,-0.009399235164104215,0.0,0.0,0.0,24.433812303723922
2024-07-29,18.156834812643524,34.60000038146973,4.150000095367432,22.728026388033665,26.371925401220686,18.156834812643524,18.156834812643524,6.43418027789767,6.43418027789767,6.43418027789767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.470757138596907,6.470757138596907,6.470757138596907,-0.04307937021206902,-0.04307937021206902,-0.04307937021206902,5.20009593040148,5.20009593040148,5.20009593040148,-0.046404146882897984,-0.046404146882897984,-0.046404146882897984,-0.02658307859599671,-0.02658307859599671,-0.02658307859599671,-0.009993782103241462,-0.009993782103241462,-0.009993782103241462,0.0,0.0,0.0,24.591015090541195
2024-07-30,18.15753768479383,34.60000038146973,4.150000095367432,24.102315798137603,27.988747009158427,18.15753768479383,18.15753768479383,7.934537510907333,7.934537510907333,7.934537510907333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,7.974101661464218,7.974101661464218,7.974101661464218,-0.059966623905153275,-0.059966623905153275,-0.059966623905153275,6.745543913064241,6.745543913064241,6.745543913064241,-0.07162035298526347,-0.07162035298526347,-0.07162035298526347,-0.02903442472936947,-0.02903442472936947,-0.02903442472936947,-0.010529725827514845,-0.010529725827514845,-0.010529725827514845,0.0,0.0,0.0,26.092075195701163
2024-07-31,18.15824056216704,34.60000038146973,4.150000095367432,23.422855164929828,27.10086522038951,18.15824056216704,18.15824056216704,7.080633796276262,7.080633796276262,7.080633796276262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,7.110131551836357,7.110131551836357,7.110131551836357,-0.05641141527806797,-0.05641141527806797,-0.05641141527806797,5.845447678627096,5.845447678627096,5.845447678627096,-0.03904943680306417,-0.03904943680306417,-0.03904943680306417,-0.018489561497453476,-0.018489561497453476,-0.018489561497453476,-0.011008194062642506,-0.011008194062642506,-0.011008194062642506,0.0,0.0,0.0,25.238874358443304
2024-08-01,18.158943444760187,34.60000038146973,4.150000095367432,23.47324939692619,27.230648374210553,18.158943444760187,18.158943444760187,7.11943256327123,7.11943256327123,7.11943256327123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,7.104798730419443,7.104798730419443,7.104798730419443,-0.06174423669498192,-0.06174423669498192,-0.06174423669498192,5.845447678627096,5.845447678627096,5.845447678627096,-0.03904943680306417,-0.03904943680306417,-0.03904943680306417,0.02606604299303949,0.02606604299303949,0.02606604299303949,-0.011432210141252596,-0.011432210141252596,-0.011432210141252596,0.0,0.0,0.0,25.278376008031415
2024-08-02,18.159646332570304,34.60000038146973,4.150000095367432,24.05786809354059,27.59606809062315,18.159646332570304,18.159646332570304,7.740532032409123,7.740532032409123,7.740532032409123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,7.721654797246546,7.721654797246546,7.721654797246546,-0.058633422789067795,-0.058633422789067795,-0.058633422789067795,6.482307760422083,6.482307760422083,6.482307760422083,-0.06216426567686273,-0.06216426567686273,-0.06216426567686273,0.030683889695388676,0.030683889695388676,0.030683889695388676,-0.011806654532810018,-0.011806654532810018,-0.011806654532810018,0.0,0.0,0.0,25.90017836497943
2024-08-03,18.160349225594395,34.60000038146973,4.150000095367432,23.34883051279749,26.916805033337937,18.160349225594395,18.160349225594395,6.8743956977374,6.8743956977374,6.8743956977374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.8651084514697045,6.8651084514697045,6.8651084514697045,-0.06174423669498192,-0.06174423669498192,-0.06174423669498192,5.624669534214103,5.624669534214103,5.624669534214103,-0.05796157133981097,-0.05796157133981097,-0.05796157133981097,0.02142540741767179,0.02142540741767179,0.02142540741767179,-0.012138161149976224,-0.012138161149976224,-0.012138161149976224,0.0,0.0,0.0,25.034744923331793
2024-08-04,18.161052123829492,34.60000038146973,4.150000095367432,23.240462517724954,27.074987007906056,18.161052123829492,18.161052123829492,6.946124732601019,6.946124732601019,6.946124732601019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.96262795917872,6.96262795917872,6.96262795917872,-0.0501898044188116,-0.0501898044188116,-0.0501898044188116,5.70958393105268,5.70958393105268,5.70958393105268,-0.056910892745541154,-0.056910892745541154,-0.056910892745541154,-0.004068275283297519,-0.004068275283297519,-0.004068275283297519,-0.012434951294403643,-0.012434951294403643,-0.012434951294403643,0.0,0.0,0.0,25.107176856430513
2024-08-05,18.161755027272626,34.60000038146973,4.150000095367432,23.571792635237415,27.117368245258497,18.161755027272626,18.161755027272626,7.128426032851698,7.128426032851698,7.128426032851698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,7.1677157217415095,7.1677157217415095,7.1677157217415095,-0.04574578939681195,-0.04574578939681195,-0.04574578939681195,5.913379714376277,5.913379714376277,5.913379714376277,-0.06006292852835052,-0.06006292852835052,-0.06006292852835052,-0.02658307859598391,-0.02658307859598391,-0.02658307859598391,-0.012706610293826812,-0.012706610293826812,-0.012706610293826812,0.0,0.0,0.0,25.290181060124326
2024-08-06,18.162457935920813,34.60000038146973,4.150000095367432,23.382308788897923,26.97172519421319,18.162457935920813,18.162457935920813,7.01420181393141,7.01420181393141,7.01420181393141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,7.056200052573957,7.056200052573957,7.056200052573957,-0.04485698300189763,-0.04485698300189763,-0.04485698300189763,5.811481984676455,5.811481984676455,5.811481984676455,-0.0705696743909937,-0.0705696743909937,-0.0705696743909937,-0.029034424729384358,-0.029034424729384358,-0.029034424729384358,-0.012963813913163025,-0.012963813913163025,-0.012963813913163025,0.0,0.0,0.0,25.176659749852224
2024-08-07,18.16316084977107,34.60000038146973,4.150000095367432,23.102032578334764,26.773439049995368,18.16316084977107,18.16316084977107,6.82949527741082,6.82949527741082,6.82949527741082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.861202852335589,6.861202852335589,6.861202852335589,-0.042190563817154664,-0.042190563817154664,-0.042190563817154664,5.590703516339518,5.590703516339518,5.590703516339518,-0.047454825477167804,-0.047454825477167804,-0.047454825477167804,-0.01848956149743123,-0.01848956149743123,-0.01848956149743123,-0.013218013427338537,-0.013218013427338537,-0.013218013427338537,0.0,0.0,0.0,24.992656127181892
2024-08-08,18.163863768820427,34.60000038146973,4.150000095367432,23.390571735562236,27.016781702631285,18.163863768820427,18.163863768820427,7.063035676927877,7.063035676927877,7.063035676927877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,7.05045072369486,7.05045072369486,7.05045072369486,-0.04307937021206902,-0.04307937021206902,-0.04307937021206902,5.794498975739156,5.794498975739156,5.794498975739156,-0.0611136071226203,-0.0611136071226203,-0.0611136071226203,0.02606604299306722,0.02606604299306722,0.02606604299306722,-0.013481089760051721,-0.013481089760051721,-0.013481089760051721,0.0,0.0,0.0,25.226899445748302
2024-08-09,18.164566693065908,34.60000038146973,4.150000095367432,23.828099718971043,27.654682681015398,18.164566693065908,18.164566693065908,7.585128115366838,7.585128115366838,7.585128115366838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,7.56820921394055,7.56820921394055,7.56820921394055,-0.06352184948481056,-0.06352184948481056,-0.06352184948481056,6.337953318188909,6.337953318188909,6.337953318188909,-0.06636698005394188,-0.06636698005394188,-0.06636698005394188,0.03068388969536855,0.03068388969536855,0.03068388969536855,-0.013764988269079743,-0.013764988269079743,-0.013764988269079743,0.0,0.0,0.0,25.749694808432746
2024-08-10,18.16526962250453,34.60000038146973,4.150000095367432,24.574882924340407,28.38307094748607,18.16526962250453,18.16526962250453,8.22235858753885,8.22235858753885,8.22235858753885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,8.215014526673352,8.215014526673352,8.215014526673352,-0.059966623905153275,-0.059966623905153275,-0.059966623905153275,6.983304742490567,6.983304742490567,6.983304742490567,-0.06846831720245415,-0.06846831720245415,-0.06846831720245415,0.02142540741764758,0.02142540741764758,0.02142540741764758,-0.014081346552150204,-0.014081346552150204,-0.014081346552150204,0.0,0.0,0.0,26.387628210043378
